run2_picard.txt	Sample	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
run2_picard.txt	8_07_bam	2651273250	2651000511		1576450686	536870854	46544020	491134951	0	0	0		0.594663	0.202516	0.017557	0.185264	0.797179	0.797097	0	0.377112	0.561495	0.398376	1.385385			
run2_picard.txt	8_12_bam	2266144750	2265882246		1271150405	424996157	39979216	529756468	0	0	0		0.560996	0.187563	0.017644	0.233797	0.748559	0.748472	0	0.376604	0.551283	0.387637	1.381628			
run3_picard.txt	Sample	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
run3_picard.txt	2_00_bam	55437850	55433666		38066603	11546785	498502	5321776	0	0	0		0.686705	0.208299	0.008993	0.096003	0.895005	0.894937	0	0.908729	0.017301	0.450811	0.038038			
run3_picard.txt	2_01_bam	800291000	800226603		547881762	150029214	6718477	95597150	0	0	0		0.684658	0.187483	0.008396	0.119463	0.872142	0.872072	0	0.512433	0.044097	0.60236	0.090299			
run3_picard.txt	2_03_bam	1292724650	1292626780		888557247	246022815	8701410	149345308	0	0	0		0.687404	0.190328	0.006732	0.115536	0.877732	0.877666	0	0.516726	0.036512	0.597153	0.072332			
run3_picard.txt	2_08_bam	1354850950	1354750629		900938580	249616089	10645729	193550231	0	0	0		0.665022	0.184252	0.007858	0.142868	0.849274	0.849211	0	0.5174	0.043378	0.603838	0.080948			
run3_picard.txt	2_09_bam	1023074200	1022999903		690129234	200206576	7684398	124979695	0	0	0		0.674613	0.195705	0.007512	0.12217	0.870319	0.870255	0	0.538392	0.033194	0.624188	0.06268			
run3_picard.txt	3_00_bam	56123950	56119645		37582199	12182888	858381	5496177	0	0	0		0.66968	0.217088	0.015296	0.097937	0.886768	0.8867	0	0.979005	0.014461	0.458306	0.030494			
run3_picard.txt	3_10_bam	1413303500	1413197901		978703501	283997117	25185097	125312186	0	0	0		0.692545	0.200961	0.017821	0.088673	0.893506	0.893439	0	0.498368	0.042547	0.600094	0.078165			
run3_picard.txt	3_11_bam	1145701350	1145615614		758896018	216113846	13529671	157076079	0	0	0		0.662435	0.188644	0.01181	0.137111	0.851079	0.851016	0	0.503075	0.037304	0.615126	0.071016			
run3_picard.txt	3_20_bam	1782426850	1782287348		1159689694	341110317	20891409	260595928	0	0	0		0.650675	0.191389	0.011722	0.146214	0.842064	0.841998	0	0.518271	0.03947	0.63024	0.068886			
run3_picard.txt	3_21_bam	1365571250	1365465139		895144950	262067263	17091432	191161494	0	0	0		0.65556	0.191925	0.012517	0.139997	0.847486	0.84742	0	0.514794	0.038976	0.617575	0.071551			
run3_picard.txt	5_00_bam	57260550	57255668		38009463	12898719	1038066	5309420	0	0	0		0.663855	0.225283	0.01813	0.092732	0.889138	0.889062	0	0.896764	0.023411	0.465997	0.042289			
run3_picard.txt	5_22_bam	957772750	957692637		653240953	195307411	14934850	94209423	0	0	0		0.682099	0.203935	0.015595	0.098371	0.886034	0.88596	0	0.513705	0.047188	0.582184	0.090808			
run3_picard.txt	5_23_bam	989218100	989138129		662634119	201170077	15824200	109509733	0	0	0		0.669911	0.203379	0.015998	0.110712	0.87329	0.873219	0	0.507785	0.044809	0.601059	0.081226			
run3_picard.txt	5_25_bam	1112776450	1112679014		724555050	225099281	17787681	145237002	0	0	0		0.651181	0.202304	0.015986	0.130529	0.853485	0.85341	0	0.519142	0.047529	0.620604	0.088536			
run3_picard.txt	5_27_bam	1226816050	1226709474		806394620	252527688	20341730	147445436	0	0	0		0.657364	0.205858	0.016582	0.120196	0.863222	0.863147	0	0.5262	0.046694	0.599598	0.086946			
run3_picard.txt	6_00_bam	97892350	97885655		63607352	19882670	1227177	13168456	0	0	0		0.649813	0.203121	0.012537	0.134529	0.852934	0.852876	0	0.763972	0.032031	0.508077	0.069686			
run3_picard.txt	6_22_bam	1778989250	1778864453		1170975600	342690493	19665196	245533164	0	0	0		0.658271	0.192646	0.011055	0.138028	0.850917	0.850857	0	0.512259	0.051361	0.625676	0.092679			
run3_picard.txt	6_23_bam	1791032450	1790900646		1174770964	332855799	19521243	263752640	0	0	0		0.655967	0.185859	0.0109	0.147274	0.841826	0.841764	0	0.511311	0.049086	0.608566	0.090312			
run3_picard.txt	6_25_bam	1763111000	1762972751		1091448259	351363194	16927841	303233457	0	0	0		0.619095	0.199302	0.009602	0.172001	0.818397	0.818333	0	0.525163	0.050996	0.570777	0.10184			
run3_picard.txt	6_27_bam	1680203400	1680062518		1057127821	301528246	19693473	301712978	0	0	0		0.629219	0.179474	0.011722	0.179584	0.808694	0.808626	0	0.532618	0.04403	0.587114	0.087007			
run3_picard.txt	7_00_bam	54223250	54219005		35497966	11546543	886698	6287798	0	0	0		0.654714	0.212961	0.016354	0.11597	0.867676	0.867608	0	0.966546	0.020931	0.430247	0.041534			
run3_picard.txt	7_10_bam	1309947750	1309843285		856889499	254877159	19282699	178793928	0	0	0		0.654192	0.194586	0.014721	0.1365	0.848778	0.848711	0	0.504375	0.050749	0.618632	0.089182			
run3_picard.txt	7_11_bam	1430912050	1430799250		926303410	270607257	20206630	213681953	0	0	0		0.647403	0.18913	0.014123	0.149344	0.836533	0.836467	0	0.517765	0.052063	0.587435	0.094851			
run3_picard.txt	7_20_bam	1543925700	1543803661		978781558	283944785	23261510	257815808	0	0	0		0.634007	0.183925	0.015068	0.167	0.817932	0.817867	0	0.50328	0.056112	0.608498	0.098036			
run3_picard.txt	7_21_bam	1515214350	1515097861		983149949	312122140	21475083	198350689	0	0	0		0.648902	0.206008	0.014174	0.130916	0.85491	0.854844	0	0.510749	0.043898	0.597244	0.087313			
run3_picard.txt	8_00_bam	67503100	67497130		44955572	15434459	1659936	5447163	0	0	0		0.666037	0.228668	0.024593	0.080702	0.894705	0.894626	0	1.109433	0.023033	0.405307	0.056962			
run3_picard.txt	8_01_bam	1128883950	1128785723		723923726	218817270	24223937	161820790	0	0	0		0.64133	0.193852	0.02146	0.143358	0.835182	0.835109	0	0.515185	0.05936	0.573386	0.112326			
run3_picard.txt	8_03_bam	1390861450	1390741065		942982770	285750558	28477789	133529948	0	0	0		0.678043	0.205466	0.020477	0.096014	0.88351	0.883433	0	0.492894	0.061293	0.559812	0.116956			
run3_picard.txt	8_08_bam	1292996900	1292889023		867089833	270577679	28230100	126991411	0	0	0		0.670661	0.209281	0.021835	0.098223	0.879942	0.879869	0	0.508836	0.05639	0.58026	0.103081			
run3_picard.txt	8_09_bam	1122115550	1122021032		771018932	247818020	22433169	80750911	0	0	0		0.68717	0.220868	0.019994	0.071969	0.908037	0.907961	0	0.523291	0.049575	0.603937	0.091085			
run4_picard.txt	Sample	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
run4_picard.txt	2_00_bam	109302639	109292827		75080806	26658711	1360398	6192912	0	0	0		0.686969	0.24392	0.012447	0.056663	0.930889	0.930806	0	0.995347	0.042236	0.449955	0.096273			
run4_picard.txt	2_02_bam	3312472746	3312188255		2265398859	752959488	33771118	260058790	0	0	0		0.683958	0.22733	0.010196	0.078516	0.911288	0.91121	0	0.599327	0.082068	0.581423	0.143328			
run4_picard.txt	2_04_bam	2896603395	2896340621		1972345683	670381094	38963577	214650267	0	0	0		0.680978	0.231458	0.013453	0.074111	0.912436	0.912354	0	0.540998	0.073426	0.653909	0.121288			
run4_picard.txt	2_05_bam	2267931342	2267732487		1541222096	532614425	38226526	155669440	0	0	0		0.679631	0.234867	0.016857	0.068645	0.914498	0.914418	0	0.526976	0.087527	0.656876	0.144655			
run4_picard.txt	3_00_bam	94845771	94837335		65503631	22822619	1174482	5336603	0	0	0		0.690695	0.24065	0.012384	0.056271	0.931345	0.931262	0	0.903043	0.045385	0.482968	0.105498			
run4_picard.txt	3_06_bam	2700801288	2700599464		1876595267	600352439	26024616	197627142	0	0	0		0.694881	0.222303	0.009637	0.073179	0.917184	0.917116	0	0.535912	0.099075	0.611817	0.170334			
run4_picard.txt	3_07_bam	2066113734	2065949396		1418252748	472078100	29711701	145906847	0	0	0		0.68649	0.228504	0.014382	0.070625	0.914994	0.914921	0	0.547808	0.075162	0.626042	0.128045			
run4_picard.txt	3_12_bam	2074641087	2074486135		1394054709	533528367	25799534	121103525	0	0	0		0.672	0.257186	0.012437	0.058378	0.929186	0.929116	0	0.556788	0.081539	0.583122	0.150355			
